step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
105.0,28,7,62.0,145.40032617927574,2.2142857142857144,5.338470854856654,0.6244403896254578,5.192868792116991,89557.60947882329,1020.1947123456631,28565.451945678564,0.07692295289756196,0.10042776154120876,0.04498837129457801,3,38.0,0.34305177907684875,0.4980213490960516,2,39.0,0.34305177907684875,0.4980213490960516,2,16.0,0.34305177907684875,0.4980213490960516,0,12.0,0.34305177907684875,0.4980213490960516,7,105.0,46.01453262497237
110.0,29,2,46.0,134.90167414123698,1.5862068965517242,7.496747030003493,0.2832027140981174,4.651781866939206,84268.07936620963,926.8286084117934,26878.029643942005,0.11051087365411984,0.12868837678319753,0.014450867052023121,0,8.0,0.7591765577740578,0.014653435881180774,2,51.0,0.7591765577740578,0.014653435881180774,0,8.0,0.7591765577740578,0.014653435881180774,0,0.0,0.7591765577740578,0.014653435881180774,2,67.0,81.94399955497414
115.0,32,4,60.0,74.48936661206963,1.875,7.375218187952462,-0.21829452335442184,2.327792706627176,81710.54424771323,814.4456448832717,26062.26063626469,0.12710307780589222,0.17588502755217192,0.027119357981383613,0,2.0,0.690896381219416,-0.15585943428951682,2,61.0,0.690896381219416,-0.15585943428951682,2,6.0,0.690896381219416,-0.15585943428951682,0,2.0,0.690896381219416,-0.15585943428951682,4,71.0,53.096465559111664
120.0,31,9,95.0,-143.5723604207302,3.064516129032258,4.82166707761405,-0.8989035404898891,-4.631366465184846,47066.31242203526,484.2830555389858,15012.77472170856,0.11543219049598819,0.1822464128421808,0.06122330365361985,1,4.0,0.4225961335329984,-1.012708072348308,5,82.0,0.4225961335329984,-1.012708072348308,3,19.0,0.4225961335329984,-1.012708072348308,0,2.0,0.4225961335329984,-1.012708072348308,9,107.0,-116.38905893821958
125.0,34,15,131.0,114.53546632444996,3.8529411764705883,4.036021692099208,0.1790038225517808,3.3686901860132337,101148.55739138633,948.9069802077,32262.8373270618,0.1143001791708801,0.17491578679079556,0.0995705169491549,4,13.0,0.29273095582232483,-0.10196274739607866,7,114.0,0.29273095582232483,-0.10196274739607866,2,21.0,0.29273095582232483,-0.10196274739607866,2,5.0,0.29273095582232483,-0.10196274739607866,15,153.0,20.313865010318942
130.0,36,18,163.0,12.392701070716496,4.527777777777778,4.054429254744405,-0.07575282660579231,0.3442416964087914,85114.28662185695,754.1360996802072,27148.899588487453,0.11325499375815186,0.17960549303693807,0.11584734010150666,6,37.0,0.2667643368939048,-0.11697148540058089,5,110.0,0.2667643368939048,-0.11697148540058089,4,28.0,0.2667643368939048,-0.11697148540058089,3,16.0,0.2667643368939048,-0.11697148540058089,18,191.0,8.62009436363672
135.0,38,14,197.0,86.57561186873575,5.184210526315789,4.0596290016568854,0.12701333788289146,2.2783055754930466,96186.27839839009,807.3688967667898,30680.018077138015,0.10541940654811997,0.17080158699159254,0.08899964160701156,7,70.0,0.21957330379871737,-0.03984301655409765,3,108.0,0.21957330379871737,-0.03984301655409765,3,41.0,0.21957330379871737,-0.03984301655409765,1,15.0,0.21957330379871737,-0.03984301655409765,14,234.0,-0.8621231654920729
140.0,37,12,178.0,181.61417992917205,4.8108108108108105,5.14226333671161,0.4311327739989748,4.9084913494370825,117752.36093621199,1015.0948695559055,37558.51017356851,0.09638186376019103,0.16228645487922203,0.07556458027083408,6,88.0,0.3349447299105334,0.4903584880537257,3,95.0,0.3349447299105334,0.4903584880537257,3,35.0,0.3349447299105334,0.4903584880537257,0,1.0,0.3349447299105334,0.4903584880537257,12,219.0,88.66763929028812
145.0,36,7,112.0,112.93160472243797,3.111111111111111,6.426787199249293,0.2528161673352903,3.1369890200677206,100188.12819278617,887.6705015556447,31956.138056003212,0.11064376555888768,0.17196321143221638,0.04608515214359408,3,77.0,0.584060379175098,-0.02842815967227552,3,105.0,0.584060379175098,-0.02842815967227552,1,24.0,0.584060379175098,-0.02842815967227552,0,0.0,0.584060379175098,-0.02842815967227552,7,206.0,26.88019079106857
150.0,38,4,115.0,49.815324892982936,3.026315789473684,6.242550051441619,-0.23803968569018374,1.3109296024469197,105157.09023834184,882.6597128374348,33541.06908782252,0.13446652789574998,0.22041267183470312,0.027847920998692332,1,39.0,0.6204686161085474,-0.12640036890624828,3,118.0,0.6204686161085474,-0.12640036890624828,0,3.0,0.6204686161085474,-0.12640036890624828,0,2.0,0.6204686161085474,-0.12640036890624828,4,162.0,27.29738629445233
155.0,41,14,169.0,102.21501747830617,4.121951219512195,5.161035554294371,-0.0960147263814758,2.4930492067879544,112806.08373240307,877.5908108301096,35981.223244034496,0.16237171332199993,0.24841511294996474,0.09348676177621724,5,40.0,0.507447037605979,-0.20604523939194336,6,145.0,0.507447037605979,-0.20604523939194336,0,2.0,0.507447037605979,-0.20604523939194336,3,9.0,0.507447037605979,-0.20604523939194336,14,196.0,98.28349772278649
160.0,41,21,256.0,39.10360973645547,6.2439024390243905,4.108162653172717,-0.23600311179193645,0.9537465789379382,103225.11702766958,803.0561813849268,32925.30343678199,0.1553606098871129,0.22922959740726542,0.1398755737202418,6,57.0,0.2528050911751561,-0.34577603158914516,9,182.0,0.2528050911751561,-0.34577603158914516,2,4.0,0.2528050911751561,-0.34577603158914516,4,29.0,0.2528050911751561,-0.34577603158914516,21,272.0,6.987510384556661
165.0,44,18,261.0,43.13581666508514,5.931818181818182,3.5016813530697375,-0.05530680631377974,0.9803594696610258,109564.2046577385,794.2576483899974,34947.33652915988,0.1809709110130837,0.2429286035341434,0.12353440536818049,2,65.0,0.22328951683391987,-0.1632690243974969,11,232.0,0.22328951683391987,-0.1632690243974969,3,18.0,0.22328951683391987,-0.1632690243974969,2,37.0,0.22328951683391987,-0.1632690243974969,18,352.0,-4.468950880497951
170.0,45,21,357.0,82.8033860564073,7.933333333333334,4.159841740762716,0.149413320798776,1.84007524569794,115335.99701275329,817.5185014856418,36788.33256685389,0.1818082191278784,0.24899513959006025,0.1442075527142002,3,54.0,0.3563890418477747,0.3097686406216513,13,295.0,0.3563890418477747,0.3097686406216513,4,36.0,0.3563890418477747,0.3097686406216513,1,23.0,0.3563890418477747,0.3097686406216513,21,408.0,59.04850607341485
175.0,47,18,424.0,82.00774451632226,9.02127659574468,4.1821725402209164,0.04407647728996533,1.744845628006857,115261.66920069222,782.2270838189471,36764.672939490505,0.20750463137594333,0.25547793555504156,0.12582159468321372,3,68.0,0.2923371705245346,-0.07194528496303675,13,360.0,0.2923371705245346,-0.07194528496303675,1,37.0,0.2923371705245346,-0.07194528496303675,1,23.0,0.2923371705245346,-0.07194528496303675,18,488.0,33.86172214097975
180.0,49,19,481.0,119.58490532164858,9.816326530612244,4.589776979105595,0.11340776636112516,2.440508271870379,130367.651745349,848.6251463391804,41582.63217061984,0.22148638377367721,0.26918780924609925,0.13144823349416396,3,64.0,0.5090400944429163,0.10497541809704389,13,425.0,0.5090400944429163,0.10497541809704389,3,31.0,0.5090400944429163,0.10497541809704389,0,2.0,0.5090400944429163,0.10497541809704389,19,522.0,39.6363608042919
185.0,50,23,584.0,83.41589125786126,11.68,4.338596642750251,-0.21586234594793724,1.6683178251572253,129625.30997363955,826.920935739137,41346.04678695685,0.24860513696426767,0.2911545279571737,0.1572457927097061,5,82.0,0.41258820620412023,-0.5145989854894236,13,492.0,0.41258820620412023,-0.5145989854894236,4,47.0,0.41258820620412023,-0.5145989854894236,1,3.0,0.41258820620412023,-0.5145989854894236,23,624.0,32.478541915981715
